sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
149.0,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,20.0,6.0,1.0,3.0,June
150.0,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,390.0,86.0,64.0,82.0,June
151.0,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,275.0,60.0,49.0,52.0,June
152.0,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,163.0,42.0,26.0,34.0,June
153.0,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,480.0,128.0,81.0,90.0,June
154.0,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0.0,0.0,0.0,0.0,June
155.0,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,1.0,0.0,0.0,0.0,June
156.0,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,2.0,0.0,2.0,0.0,June
157.0,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,27.0,3.0,9.0,3.0,June
158.0,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,43.0,4.0,8.0,11.0,June
159.0,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,14.0,2.0,4.0,2.0,June
160.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Sand,25.0,11.0,3.0,5.0,June
161.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Attempt to commit,43.0,31.0,4.0,7.0,June
162.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Tractors,755.0,184.0,134.0,95.0,June
163.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),At ATM,3.0,0.0,1.0,0.0,June
164.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,120.0,29.0,27.0,24.0,June
165.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cattle,246.0,37.0,41.0,57.0,June
166.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cycle,66.0,9.0,11.0,10.0,June
167.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,45.0,19.0,12.0,6.0,June
168.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,5.0,2.0,0.0,2.0,June
169.0,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,120.0,29.0,12.0,17.0,June
